event name	risk	sentiment_positive	sentiment_negative	covid	political	political_risk	political_sentiment_positive	political_sentiment_negative	totalwords
Apple (AAPL) Q3 2020 Earnings Call Transcript	369.85078433873235	1836.5004463716364	841.7293712536667	140.28822854227778	6900.555484219231	1213.1577214865717	3992.7012633240465	2305.8711678715536	7841
Apple Inc. (AAPL) Q2 2020 Earnings Call Transcript	397.4661532728853	1490.49807477332	1093.0319215004347	173.8914420568873	7631.4237816888935	515.2657971621217	2107.185241204762	2322.4546038713906	8051
